,0
SO_pit,0.13998878191771116
IPouts,0.13289384862911788
pit_WAR_fg,0.0906199978760062
GS,0.07142095264005423
pit_ERA_minus,0.06320955636402074
SV,0.06144632670924823
G_pit,0.0607438979542674
pit_BBpct,0.05635123325387174
pit_Kpct,0.04999426172951554
pit_FIP,0.046397017586583156
ER,0.04168111654464939
BB_pit,0.0300569953091451
WinPct,0.028374642263253296
HR_pit,0.02109936142612876
A,0.018719035829824936
G_fld,0.016793787159161553
G_bat,0.013971612755155934
AB,0.012155238897709239
PO,0.011378872931059587
RBI,0.006931246811654621
